image_url,genus,location,verbatim_date,date,month,day,year
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015778.jpg,Chelidonium,"Mansfield, Connecticut","June 5, 1917",06/05/1917,6,5,1917
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015779.jpg,Chelidonium,"Andover, Connecticut","May 22, 1940",05/22/1940,5,22,1940
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015781.jpg,Chelidonium,"Meriden, Connecticut","June 21, 1971",06/21/1971,6,21,1971
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015782.jpg,Chelidonium,"Killingworth, Connecticut","Jul 17, 1874",07/17/1874,7,17,1874
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015783.jpg,Chelidonium,"Storrs, Connecticut","Jul 16, 1969",07/16/1969,7,16,1969
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015784.jpg,Chelidonium,"Mansfield, Connecticut","July 15, 1970",07/15/1970,7,15,1970
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015785.jpg,Chelidonium,"Fairfield, Connecticut","June 13, 1895",06/13/1895,6,13,1895
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015786.jpg,Chelidonium,"Glastonbury, Connecticut","July 4, 1907",07/04/1907,7,4,1907
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015787.jpg,Chelidonium,"Groton, Connecticut","May 28, 1938",05/28/1938,5,28,1938
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015788.jpg,Chelidonium,"Groton, Connecticut","May 30, 1938",05/30/1938,5,30,1938
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015789.jpg,Chelidonium,"Groton, Connecticut","June 12, 1927",06/12/1927,6,12,1927
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015790.jpg,Chelidonium,"Ledyard, Connecticut","June 24, 1923",06/24/1923,6,24,1923
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015791.jpg,Chelidonium,"Hartford, Connecticut","June, 1989",06/00/1989,6,0,1989
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015792.jpg,Chelidonium,"Pomfret, Connecticut","August 28, 1993",08/28/1993,8,28,1993
,,,,,,,
http://citsci.s3.amazonaws.com/nevp/CONN00015793.jpg,Chelidonium,"East Hartford, Connecticut","May 12, 1899",05/12/1899,5,12,1899
