mly_date,mly_maxt,mly_maxt_nmppm,mly_mint,mly_mint_nmppm,mly_avgt,mly_avgt_nmppm,mly_pcpn,mly_pcpn_nmppm,uid_mly_used,iDigBioUUID,yearM,monthM,yearlyDistance_KM
1946-01,M,31,M,31,M,31,M,31,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,01,19.079
1946-02,M,28,M,28,M,28,M,28,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,02,19.079
1946-03,66,0,25,1,44.08,1,2.23,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,03,19.079
1946-04,63,0,32,0,45.68,0,3.69,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,04,19.079
1946-05,77,0,32,1,54.25,1,6.56,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,05,19.079
1946-06,80,0,41,0,62.82,0,3.78,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,06,19.079
1946-07,85,0,50,0,68.42,0,3.32,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,07,19.079
1946-08,83,0,50,0,66.52,0,13.84,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,08,19.079
1946-09,85,0,48,0,65.20,0,1.50,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,09,19.079
1946-10,85,0,36,0,57.53,0,1.34,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,10,19.079
1946-11,71,0,25,0,47.88,0,0.98,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,11,19.079
1946-12,62,0,8,0,36.81,0,4.39,0,8927.0,0f1407f5-7229-4c7b-8e24-13a8d6f0f522,1946,12,19.079
1914-01,M,31,M,31,M,31,M,31,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,01,10.687
1914-02,M,28,M,28,M,28,M,28,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,02,10.687
1914-03,M,31,M,31,M,31,M,31,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,03,10.687
1914-04,M,30,M,30,M,30,M,30,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,04,10.687
1914-05,M,31,M,31,M,31,M,31,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,05,10.687
1914-06,M,30,M,30,M,30,M,30,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,06,10.687
1914-07,M,31,M,31,M,31,M,31,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,07,10.687
1914-08,M,31,M,31,M,31,M,31,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,08,10.687
1914-09,M,30,M,30,M,30,M,30,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,09,10.687
1914-10,M,31,M,31,M,31,M,31,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,10,10.687
1914-11,M,30,M,30,M,30,M,30,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,11,10.687
1914-12,M,31,M,31,M,31,M,31,8958.0,e9773b0f-d1fd-45cf-bced-85df39919505,1914,12,10.687
1907-01,59,5,-2,4,30.48,8,4.07,2,8949.0,22bfe956-9a0b-42ae-97ca-270f751bc0aa,1907,01,8.549
1907-02,40,4,-1,4,23.14,7,2.96,20,8949.0,22bfe956-9a0b-42ae-97ca-270f751bc0aa,1907,02,8.549
1907-03,69,0,16,0,36.47,0,2.66,0,8949.0,22bfe956-9a0b-42ae-97ca-270f751bc0aa,1907,03,8.549
